Keyword,关键词分类,流量等级,Traffic,Search Volume,Position,Keyword Difficulty,CPC,URL,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,Previous position
chatgpt com 意外 终止 了 连接,9.其他,⭐中流量,6,50,2,0,0.0,https://chatgptzh.github.io/this-site-cant-be-reached/,1.7,0.0,0.0,39,"[0,6,2,4,2,2,14,100,2,2,4,4]",2025-07-23,"Sitelinks, Related searches","informational, transactional",Organic,2
gpt的会话如何批量删除,9.其他,⭐中流量,6,260,8,15,0.0,https://chatgptboke.com/clear-chats.html,2.24,0.0,0.0,56,"[100,0,0,0,0,0,0,0,0,0,0]",2025-07-18,"Image pack, Related searches","commercial, informational",Organic,8
gtp 总是要自己点继续怎么解决,9.其他,⭐中流量,5,170,6,2,0.0,https://chatgptboke.com/human-verification-is-always-required-when-using-chatgpt.html,1.87,0.0,0.0,93,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-15,Image pack,informational,Organic,6
chatgpt ios 点击不了,9.其他,💡低流量,4,170,4,14,0.0,https://chatgptzh.github.io/continue-no-response/,1.13,0.0,0.0,82,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-07-26,"Video, Video Carousel",informational,Organic,4
似乎 chat openai com 关闭 了 连接,9.其他,💡低流量,3,50,4,0,0.0,https://chatgptzh.github.io/issues-when-using-chatpgt-in-china/,0.85,0.0,0.0,21,"[11,11,23,11,82,100,11,11,11,41,11,11]",2025-07-25,Related searches,"commercial, informational",Organic,4
已标记为滥用,9.其他,💡低流量,3,170,10,15,0.0,https://chatgptzh.github.io/your-account-was-flagged-for-potential-abuse/,0.85,0.0,0.0,1530000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-07-28,"Image pack, Reviews",informational,Organic,10
手机端chatgpt,9.其他,💡低流量,3,40,3,29,0.0,https://chatgptzh.github.io/app/,0.85,0.0,0.0,6680000,"[100,19,19,19,19,19,9,9,0,0,0,0]",2025-08-07,"Video, Related searches","commercial, informational",Organic,3
chatgpt无法上传图片,9.其他,💡低流量,3,1000,9,28,0.0,https://chatgptboke.com/cannot-upload-file-or-pic-to-chatgpt.html,1.12,0.0,0.0,80,"[82,0,0,100,65,0,0]",2025-08-09,"Image pack, Image, People also ask, Related searches",informational,Image pack,9
chatgpt无法上传图片,9.其他,💡低流量,3,1000,9,28,0.0,https://chatgptboke.com/file-upload-failing-for-chatgpt-users.html,1.12,0.0,0.0,80,"[82,0,0,100,65,0,0]",2025-08-09,"Image pack, Image, People also ask, Related searches",informational,Image pack,9
chatgpt中文官网,9.其他,💡低流量,2,1900,30,46,0.0,https://chatgptzh.github.io/,0.56,0.0,0.0,4360000,"[8,8,13,19,15,28,24,28,13,100,66,43]",2025-08-15,"Image pack, Video, Related searches",informational,Organic,30
chatgpt 无法 访问 此 网站,9.其他,💡低流量,2,50,5,9,0.0,https://chatgptzh.github.io/this-site-cant-be-reached/,0.56,0.0,0.0,86,"[100,14,28,100,64,28,14,28,28,14,14,14]",2025-07-23,"Image pack, Video, People also ask, Related searches","commercial, informational",Organic,5
chatgpt中文,9.其他,💡低流量,2,1900,26,41,0.0,https://chatgptzh.github.io/,0.56,0.0,0.0,181000000,"[8,6,6,19,12,4,5,3,4,6,36,29]",2025-08-10,"Image pack, Video, Related searches","informational, transactional",Organic,26
中国 大陆 如何 使用 chatgpt,9.其他,💡低流量,2,70,7,32,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.74,0.0,0.0,98,"[11,100,11,11,82,11,52,82,41,11,11,11]",2025-07-20,"Image pack, Video, People also ask, Related searches","commercial, informational",Organic,7
chatgpt 怎么 设置 中文,9.其他,💡低流量,2,40,4,11,0.0,https://chatgptboke.com/chatgpt-how-to-change-language-to-chinese.html,0.74,0.0,0.0,87,"[18,100,100,36,36,18,18,18,18,100,18,18]",2025-07-23,"Instant answer, Image pack, Sitelinks, Video, Featured snippet, Related searches",informational,Organic,4
国外手机号chatgpt,9.其他,💡低流量,1,50,7,9,0.0,https://chatgptzh.github.io/how-to-register-a-chatgpt-account-in-china/,0.28,0.0,0.0,1570000,"[19,19,19,100,19,19,9,9,9,9,4,4]",2025-08-07,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic,7
chatgpt 中文 官網,9.其他,💡低流量,1,720,27,35,0.19,https://chatgptzh.github.io/,0.28,0.0,0.05,1090000,"[36,30,36,67,67,100,67,67,45,45,45,24]",2025-08-10,"Video, Related searches",informational,Organic,27
openai 官网 打 不 开,9.其他,💡低流量,1,50,7,6,0.0,https://chatgptzh.github.io/this-site-cant-be-reached/,0.28,0.0,0.0,89,"[11,23,11,100,11,23,64,11,82,11,11,11]",2025-07-24,"Image pack, Sitelinks, Related searches",informational,Organic,7
gpt 用 不了,9.其他,💡低流量,1,50,10,6,0.0,https://chatgptzh.github.io/issues-when-using-chatpgt-in-china/,0.28,0.0,0.0,77,"[11,11,11,100,11,11,11,11,82,64,11,11]",2025-07-23,"Image pack, Video, Related searches","commercial, informational",Organic,10
国内 怎么 用 chatgpt,9.其他,💡低流量,1,40,6,23,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.37,0.0,0.01,11800000,"[80,9,19,9,9,9,19,9,19,9,9,9]",2025-07-25,"Image pack, Video, Related searches","commercial, informational",Organic,6
中国 如何 使用 chatgpt,9.其他,💡低流量,1,40,6,29,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.37,0.0,0.0,14000000,"[14,14,28,14,64,14,14,14,14,100,14,14]",2025-07-29,"Sitelinks, Video, Related searches","commercial, informational",Organic,6
gpt 是 什麼,9.其他,💡低流量,1,1900,27,36,0.0,https://chatgptboke.com/what-is-gpt-and-chatgpt.html,0.37,0.0,0.0,79100000,"[0,0,7,36,0,0,0,5,5,3,100,29]",2025-08-10,"Knowledge panel, Image pack, Video, People also ask, Related searches, See results about",informational,Organic,27
如何 在 国内 使用 chatgpt,9.其他,💡低流量,1,40,5,23,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.37,0.0,0.0,22900000,"[44,22,100,22,77,22,22,77,44,22,22,22]",2025-07-29,"Sitelinks, Video, Related searches","commercial, informational",Organic,5
中国 如何 用 chatgpt,9.其他,💡低流量,1,70,9,24,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.37,0.0,0.0,23200000,"[11,100,11,11,52,64,100,11,23,52,11,11]",2025-07-20,"Reviews, Video, Related searches","commercial, informational",Organic,9
国内 如何 使用 chatgpt,9.其他,💡低流量,1,40,6,23,0.0,https://chatgptboke.com/how-to-register-chatgpt-in-china.html,0.37,0.0,0.0,12900000,"[18,18,36,18,100,18,18,18,100,63,18,18]",2025-07-29,"Image pack, Video, Related searches","commercial, informational",Organic,6
